country,description,designation,points,price,province,region_1,region_2,variety,winery
France,"
                      There are already indications of fine maturity in this wine. Yeast and toasty flavors mingle with the crisp acidity and ripe stewed apricots and apple to give richness. It also has the nervy acidity that is typical of Alfred Gratien Champagnes, which will allow the wine to age further.                      ",Brut Millésimé,94,90.0,Champagne,Champagne,,Champagne Blend,Alfred Gratien
France,"
                      Produced from parcels of the Aegerter family's own domaine, this wine is both rich and firmly tannic. Big black cherry and dark plum fruits are sustained by the dry core of this dense, structured wine. It will need time, so wait until 2022.                      ",,89,88.0,Burgundy,Nuits-St.-Georges,,Pinot Noir,Jean-Luc and Paul Aegerter
Italy,"
                      Dark berry, underbrush and eucalyptus aromas take shape on this solid red. The savory palate offers red plum, licorice and white pepper alongside firm tannins. Drink 2022–2028.                      ",,89,50.0,Piedmont,Barolo,,Nebbiolo,Josetta Saffirio
Italy,"
                      Subtle aromas of rose petal, leather and underbrush emerge from the glass. The juicy palate offers raspberry, red cherry and star anise alongside austere tannins that need time to unfold. Drink after 2023.                      ",Altenasso,89,80.0,Piedmont,Barolo,,Nebbiolo,Cavalier Bartolomeo
US,"
                      Done in a light tart refreshing style, this mixes strawberry fruit with hints of sliced orange peel. There's a snap to the finish suggesting wet stone. A change of owners (from King Estate to Foley Family) has not changed the success or style of this value rosé.                      ",Rosé of,88,15.0,Oregon,Oregon,Oregon Other,Pinot Noir,Acrobat
Italy,"
                      This enjoyable red opens with dark-skinned berry, pressed violet and star anise aromas. On the easygoing juicy palate, supple tannins lightly support ripe blackberry, clove and a hint of white pepper.                      ",Blina,88,15.0,Piedmont,Barbera d'Asti,,Barbera,Agostino Pavia & Figli
US,"
                      Black-cherry liqueur and a touch of brioche show on the nose of this promising bottling by students at Allan Hancock College. The palate's flavors of red cherry and earthy sagebrush are evenly distributed and framed by fresh acidity.                      ",Captain's Reserve,88,18.0,California,Santa Barbara County,Central Coast,Pinot Noir,Allan Hancock
US,"
                      A tiny production from former Williams Selyem winemaker Bob Cabral, now also making the wines for Three Sticks, this is an entirely barrel-fermented and rich white wine made with focus and intent. Crème brûlée, brioche and a reduced nose highlight the slow evolution in the glass, which is joined by exotic notions of mango and clarified butter.                      ",Cuvée Anne Rose,94,100.0,California,Sonoma Coast,Sonoma,Chardonnay,Bob Cabral Wines
France,"
                      Aromas of baked apple and dried mandarin peel unite into a most alluring, almost lifted nose. The palate remains wonderfully dry, highlighting the beautifully pure lemon at its core and a textured, chalky freshness. This is concentrated, toned and totally delicious. The finish is of purest lemon. Drink now through 2028.                      ",Altenberg de Wolxheim Grand Cru,94,60.0,Alsace,Alsace,,Riesling,Cave du Roi Dagobert
US,"
                      From a vineyard situated amongst ranchettes near the winery, this wine begins with extremely beautiful scents of black cherry, rosewater and sharp nose-tingling cola spice, proving juicy but elegant. The palate is full of brilliant flavors, from snappy black raspberry to more rounded strawberry sorbet, lifted by allspice, clove, vanilla and plenty of fresh acidity.                      ",Greengate Ranch & Vineyard,94,46.0,California,Edna Valley,Central Coast,Pinot Noir,Claiborne & Churchill
Portugal,"
                      Aged in both small and larger barrels, this wine comes from the Douro Superior region in the upper Douro. Its tannins and generous texture are all part of a rich, full and powerful wine. Black fruits, a firm structure and acidity come together but need more time. Drink from 2022.                      ",Quinta da Extrema Edicão 1,94,55.0,Douro,,,Portuguese Red,Colinas do Douro
France,"
                      A wonderfully earthy note appears before lemon and crisp apple on the nose. The palate has something unusually savory, like crushed fennel, smoky cured meat and a creamier backdrop. All along, a bright lemon streak acts as a fault line of freshness. This is complex, unusual but utterly fresh. The finish is dry and wonderfully tangy. Drink through 2035.                      ",Steingrubler Grand Cru,94,44.0,Alsace,Alsace,,Riesling,Domaine Barmès-Buecher
France,"
                      A touch of apricot skin swings in with the ripe juicy pear notes on the nose. The palate scoops this fruity richness up with both a touch of residual sugar and a mellow phenolic earthiness that is reminiscent of almond skin and pear pips. Lemon freshness frames this while some alcoholic heat makes the aromas heady and expressive. This is a big, generous but very balanced and layered wine. Wait for this. Drink 2025–2035.                      ",Sonnenglanz Grand Cru,94,45.0,Alsace,Alsace,,Pinot Gris,Domaine Bott-Geyl
France,"
                      This herbal, perfumed wine is a simple blend of Grenache and Cinsault, bright with layers of crisp acidity. A touch of pepper adds spice to the delicious, easy fruit of the wine. Drink now.                      ",La Riviera,88,15.0,Provence,Côtes de Provence,,Rosé,La Sanglière
France,"
                      A deliciously aromatic wine, this offers intense red fruits that are repeated on the crisp, refreshing palate. Produced near the coast and close to Bandol, the wine is fruity, bright and ready to drink now.                      ",,88,13.0,Provence,Côtes de Provence,,Rosé,Le Charmel
Italy,"
                      Delicate dark fruit and tilled soil aromas guide the nose of this blend of Sangiovese, Canaiolo and Merlot. The straightforward palate evokes ripe black cherries, clove and black pepper, with pliant tannins. Drink soon.                      ",Sorrettole,88,16.0,Tuscany,Chianti,,Red Blends,Le Querce
