country,description,designation,points,price,province,region_1,region_2,variety,winery
Italy,"
                      Citrus and yellow stone-fruit aromas meld together with a whiff of white rose. On the elegant refreshing palate, crisp acidity accompanies grapefruit, apricot and tangy blood orange.                      ",,91,22.0,Northeastern Italy,Alto Adige,,Kerner,Nals Margreid
US,"
                      This wine from the Daou brothers starts with dense aromas of blackberry, gravelly soil, wood ash and violets. The mouthfeel is plush in soft tannins, offering flavors of black currant, asphalt, purple flowers and marjoram.                      ",,91,28.0,California,Paso Robles,Central Coast,Red Blends,Pessimist
US,"
                      Lime, kiwi and grass aromas show on the nose of this bottling. There is tremendous zip and a stony, chalky texture to the medium-bodied palate, which is full of grass and lime peel flavors.                      ",Tiradora,91,25.0,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Refugio Ranch
Argentina,"
                      Aromas of desiccated black fruits start with blackberry and air out in the direction of raisin. A huge palate is massively tannic, while this tastes of dried plum, cassis and tobacco. Severe tannins make for a rubbing finish. Drink through 2021.                      ",Kinien,91,45.0,Mendoza Province,Mendoza,,Malbec,Ruca Malen
Italy,"
                      Aromas suggesting ripe Concorde pear, yellow peach and dried herb carry over to the mature round palate along with a hint of hazelnut. It shows remarkable freshness and elegance for the hot vintage. Enjoy through 2023.                      ",Riserva,91,36.0,Northeastern Italy,Collio,,Pinot Bianco,Russiz Superiore
US,"
                      Named for the way part of the vineyard is planted, the vines trained on a high wire, this is a dense earthy red. (The site is also field planted to Carignane.) Juicy with plenty of acidity on the midpalate, it oozes blackberry, black cherry and white and black pepper, with a lasting hit of texture and freshness.                      ",Highwire Vineyard Old Vine,93,60.0,California,Russian River Valley,Sonoma,Zinfandel,Hartford Court
US,"
                      Abundantly flavorful and full bodied, this wine has lots of dark berry and black-cherry aromas, a big rich mouthfeel and deep layered fruit flavors sprinkled with spices from cinnamon to bay leaf to black pepper. It tastes extra ripe and has the moderate tannins and good acidity to support that ripeness.                      ",Muldune Trail,93,70.0,California,Anderson Valley,Mendocino County,Pinot Noir,Hartford Court
US,"
                      This is a distinctive and detailed wine that starts with floral and spicy aromas, follows with generous fruit flavors and intriguing accents of tea, rhubarb and wet stone. It's ripe but not overly so, and that little bit of restraint gives it an appealing structured mouthfeel and fine sense of balance.                      ",Velvet Sisters,93,70.0,California,Anderson Valley,Mendocino County,Pinot Noir,Hartford Court
Australia,"
                      The Henschkes may be better known for Shiraz but their Cabs can be nearly as singular and expressive. Cyril blends small amounts of Cab Franc and Merlot for what is a relatively quiet, gentle wine that seems to glide along to its own beat, completely unaware of its more robust counterparts down the hill in the Barossa Valley. Understated aromas of red currants, graphite, violets, damp earth, and whispers of salt and smoke lead seamlessly into a palate of ultrafine, sinewy tannins, silky texture and an earthy finish. Still in its youth, Cyril should blossom over time.                      ",Cyril Henschke,93,155.0,South Australia,Eden Valley,,Cabernet Blend,Henschke
US,"
                      Loads of chaparral spice, peppercorns and dried herbs dominate the nose of this appellation blend from one of California's cool-climate Syrah stars, but there is also a dark-fruit background of blackberry soda. Buoyant acidity carries the palate through chopped dill, juniper and more peppercorn flavors.                      ",,93,32.0,California,Sta. Rita Hills,Central Coast,Syrah,Holus Bolus
US,"
                      Explosive in succulent layers of fruit, this apple and pear-driven beauty is lightly spiced and well-integrated, with an impressive depth and length that gives it a warmth and welcoming character.                      ",Peters Vineyard,93,32.0,California,Russian River Valley,Sonoma,Chardonnay,Kokomo
France,"
                      This mature, golden-colored wine is rich, concentrated and intensely sweet. Its ripe marmalade and orange character is balanced by concentrated honey and spice. Made from late-harvest grapes picked in November, the wine is never cloying, its richness balanced by the acidity that underpins wines from this region. Drink this Labasse family wine now.                      ",Sélection DB,94,89.0,Southwest France,Jurançon,,Petit Manseng,Domaine Bellegarde
France,"
                      Dried lemon peel and the rich notes of lemon oil reach the nose. The off-dry palate then comes in with almost a cornucopia of honeyed fruit. There is ripe apple with hints of quince. There are ripe lemons galore alongside juicy pear and aromatic stone fruit. The midpalate is concentrated and crisp, despite the slight sweetness. This is a shimmering plaything hovering between sweet accents and killer freshness. Make most of this potential at the table. Lovely now, certain to continue evolving. Drink now through 2038.                      ",Mandelberg Botrytis L'Exception Grand Cru,94,,Alsace,Alsace,,Riesling,Domaine Bott-Geyl
France,"
                      A lovely scented aspect of crushed citrus foliage flits by the nose before ripe pear notes take over. These also dominate the palate but are tempered by a lovely, pleasantly bitter edge that is reminiscent both of fir honey and citrus pith. Something underneath is fine and almost crystalline. Lemon freshness gives precision to the pear notes and brings the wine to a very balanced, just off-dry finish.                      ",Schlossberg Grand Cru,94,38.0,Alsace,Alsace,,Riesling,Domaine Bott-Geyl
France,"
                      A very subtle nose suggests crushed citrus foliage while a hint of zesty lemon goes straight to the head. The palate then comes in with gentle ripe and fresh peach, a wonderfully bitter but pleasant edge of walnut and a gentle sweetness that colors the concentrated midpalate in off-dry pleasure. All the zesty lemon ensures lasting freshness on the off-dry finish.                      ",Furstentum Clos des Capucins Grand Cru,94,64.0,Alsace,Alsace,,Gewürztraminer,Domaine Weinbach
France,"
                      Something creamy and generous appears on the almost-closed nose. A little air wakes up the lime-zest notes which become insistent on the palate and counter spicy notes that have something of maple syrup about them. The finish is dry and lip smacking. This has just begun its evolution. Drink now–2030.                      ",Kitterlé Grand Cru,94,36.0,Alsace,Alsace,,Riesling,Domaines Schlumberger
Italy,"
                      Enticingly fragrant, this focused red has alluring scents of rose petal, menthol, woodland berry and a whiff of new leather. The savory linear palate delivers juicy red cherry, crushed strawberry, star anise and cinnamon set against a backbone of vibrant acidity and firm, refined tannins. Drink 2022–2029.                      ",Villero,94,60.0,Piedmont,Barolo,,Nebbiolo,Giacomo Fenocchio
Italy,"
                      This offers subtle aromas of dark berry, blue flower and underbrush. The juicy palate offers fleshy black cherry, clove and licorice alongside polished tannins.                      ",,88,18.0,Piedmont,Barbera d'Alba,,Barbera,Enrico Serafino
Italy,"
                      Aromas of cedar, tobacco and dark-skinned berry emerge from the glass. On the concentrated brawny palate, close-grained tannins support mature black plum, vanilla and a touch of star anise. Drink through 2020.                      ",Vigna Clara,88,,Piedmont,Barbera d'Alba,,Barbera,Eraldo Viberti
France,"
                      This lifted, ripe tropical-fruit-flavored wine offers both good acidity and great richness. With its balanced acidity and smooth texture cut with acidity, it is already refreshing. Drink now.                      ",,88,30.0,Burgundy,Mâcon-Uchizy,,Chardonnay,Ernest Merguey-Perron
Chile,"
                      A full nose with coffee, mocha, blackberry and herbal notes carries this blend of Carmenère, Syrah and Cabernet Sauvignon. The palate is choppy in feel, tasting of chocolaty berry fruits and tobacco. More chocolate carries the tannic finish.                      ",Gran Reserva Molino de Viento Vineyard Carmenère-Syrah-Cabernet Sauvignon,88,20.0,Marchigue,,,Red Blends,Estampa
Portugal,"
                      This oak-aged wine is rich, ripe with bold tropical fruits and a lightly mineral texture. Spice and toastiness balance with the up-front fruitiness and the crisp acidity at the end. Drink this wine from 2019.                      ",Reserva Premium,88,14.0,Tejo,,,Sauvignon Blanc,Fiuza
US,"
                      This is a thick, dense white with earthy floral and herbal characteristics. Stone fruit and vanilla make themselves known on the palate, evolving in the glass to show a richness of tropical flavor.                      ",Durell Vineyard,88,49.0,California,Sonoma Coast,Sonoma,Chardonnay,Fulcrum
Italy,"
                      Aromas of red berry unite with whiffs of Mediterranean scrub, blue flower and exotic spice. Reflecting the nose, the elegantly structured, focused palate delivers juicy red cherry, strawberry, star anise and baking spice accompanied by firm, polished tannins. Bright acidity lends balance. Drink 2022–2031.                      ",Guardiola,95,40.0,Sicily & Sardinia,Etna,,Red Blends,Tenuta delle Terre Nere
France,"
                      This is a structured wine, ripe yet layered with minerality and a full texture. Rich yellow and white stone fruits are cut with steely acidity that shows the wine's aging potential. Coming from arguably the finest of the Grand Cru vineyards, the wine is still young. Wait until 2023.                      ",Les Clos Grand Cru,95,90.0,Burgundy,Chablis,,Chardonnay,Jean-Marc Brocard
France,"
                      Located on the terraced hillsides of Gigondas, the vineyard site La Louisiane boasts Grenache vines that are nearly 80 years old. This is a powerful, intoxicating wine meshing rich black cherry and berry flavors against a sheen of crushed-stone minerality. It's voluminous but not dense, finishing on chalky, gripping tannins. Beautiful already but should improve through 2028, hold a few years further.                      ",La Louisiane,95,37.0,Rhône Valley,Gigondas,,Rhône-style Red Blend,Domaine Saint Damien
US,"
                      Subtle and elegant aromas of pomegranate, dried rose petals and a touch of game show on the beautiful nose of this bottling. There's a wide array of flavors on the palate, from dried lilac, violet and rose petals to black plum, tarragon, Earl Grey tea and more game.                      ",Bien Nacido Vineyard,95,70.0,California,Santa Maria Valley,Central Coast,Pinot Noir,Gary Farrell
Italy,"
                      Aromatic herb, rose, wild berry and dark spice aromas take shape in the glass. It's savory, elegant and juicy, doling out sour cherry, crushed strawberry, star anise and orange zest alongside a tangy saline note. Fine-grained tannins and fresh acidity provide balance and support. Drink 2022–2031.                      ",San Lorenzo,95,50.0,Sicily & Sardinia,Etna,,Red Blends,Tenuta delle Terre Nere
US,"
                      Exotic herb and floral tones start off this brawny full-bodied wine. Plum and black currant flavors underscore bristling acidity and a well-built tannic structure, as secondary characteristics of sage, cedar and oak emerge. This should be put away and enjoyed 2025–2030.                      ",,95,125.0,California,Howell Mountain,Napa,Cabernet Sauvignon,La Jota Vineyard
France,"
                      Clean and direct red cherry and berry aromas take center stage in this wine's fruit-forward bouquet, sitting atop hints of milk chocolate and raspberry sauce. Fleeting tannins and soft acidity make it an approachable and easy-to-drink selection.                      ",Bin 62,86,10.0,France Other,Vin de France,,Shiraz,Kiwi Cuvée
US,"
                      Lightly volatile seeming aromas of raspberry cobbler, barrel spice, vanilla and cherry lead to sweet full-bodied raspberry and cherry flavors. It doesn't all work.                      ",Les Collines Vineyard,86,41.0,Washington,Walla Walla Valley (WA),Columbia Valley,Syrah,Kontos
France,"
                      Underripe banana, green plum and lime set the stage of this fresh and inviting Sauvy. The palate offers more of the same, with ample acidity and additional hints of tart lychee and green apple that hang around on the medium-length finish.                      ",,86,12.0,France Other,Vin de France,,Sauvignon Blanc,Le Val
France,"
                      With the acidity typical of the grape, this sweet wine is as much about freshness as about a honeyed character. It has apricot and pineapple flavors and great acidity to balance. Drink this attractive wine from 2019.                      ",Aux Vols des Grues,86,16.0,Southwest France,Côtes de Gascogne,,Gros Manseng,Letrinquer
US,"
                      Cherry candy, raspberry and herb aromas are followed by plump ripe sweet flavors with a warm tangy finish. It comes off as quite ripe.                      ",Proprietor's Reserve,86,32.0,Washington,Columbia Valley (WA),Columbia Valley,Barbera,Maryhill
US,"
                      Aromas of vanilla, char, coffee and dried herb are followed by soft red-fruit flavors, with plentiful barrel accents. The variety seems a bit hard to find, especially compared to their entry-level offering from the same vintage.                      ",Proprietor's Reserve,86,44.0,Washington,Columbia Valley (WA),Columbia Valley,Zinfandel,Maryhill
Germany,"
                      Light footed and lemony fresh, this delicately sweet wine offers punchy citrus flavors with subtle notes of pollen and stony mineral. It's easy drinking and refreshing. Drink now.                      ",Oppenheimer Kabinett,87,13.0,Rheinhessen,,,Riesling,Dr. Heyden
US,"
                      This wine is 45% Cabernet Sauvignon and 40% Cabernet Franc, topped off with 10% Petit Verdot and 5% Merlot. Aged in a mixture of American and French oak, it delivers green aromas, suggesting savory herbs, cherry, vanilla, coconut, dill and spice. The sweet barrel flavors tussle a bit with the fruit on the palate, not seeming entirely harmonious at present.                      ",Cow Catcher,87,28.0,Washington,Walla Walla Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Dumas Station
US,"
                      Mourvèdre makes up 63% of this wine, with the rest 32% Syrah and 5% Grenache. It's quite reduced out of the gate yet shows a ripe mixture of blackberry, raspberry, black pepper and spice flavors.                      ",Wallywood Stone Tree Vineyard,87,42.0,Washington,Wahluke Slope,Columbia Valley,Rhône-style Red Blend,Dusted Valley
US,"
                      Almost as clear as water in the glass, this is a very fresh and clean bottling, yet extremely tropical in style. Aromas of guava, ripe papaya and plumeria extract lead into a palate that tightens up at first before unleashing the coconut oil, guava juice and white-flower flavors. Very crisp, yet it is flowery and ripe.                      ",Le Mistral Single Vineyard,87,38.0,California,Monterey County,Central Coast,Grenache Blanc,Folktale
US,"
                      This wine's forward black cherry candy flavors lead to some less appealing stiff tannins. There's a chalky mouthfeel as it finishes. It's a fair value for the price, and more bottle age may soften it a bit.                      ",High Pass Vineyard,87,18.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,High Pass
US,"
                      This follow-up to the winery's excellent 2016 rosé puts more emphasis on bitter herbal flavors as a counterpoint to sweet red fruit. There's detectable residual sugar, and the balance between bitter and sweet components is a little jarring, at least for the moment. Further bottle age may help pull things together.                      ",Pinot Noir,87,13.0,Oregon,Willamette Valley,Willamette Valley,Rosé,High Pass
France,"
                      This wine with an attractive bite is still young, with a tight texture and plenty of ripe fruit. Lemon and spice flavors are shot through with acidity and a strongly zesty character. Drink the wine from 2019.                      ",Cuvée Riquette,90,26.0,Loire Valley,Pouilly-Fumé,,Sauvignon Blanc,Domaine de Bel Air
France,"
                      This stylish Pinot Noir is full of red-cherry flavors that are freshened by crisp acidity. It also has tannins and touches of wood aging, giving the wine both shape and ageability. Drink from 2019.                      ",Origine,90,35.0,Loire Valley,Sancerre,,Pinot Noir,Domaine Matthias et Emile Roblin
France,"
                      This 37-acre estate managed by Annick Tinel-Blondelet has produced a juicy wine with open white fruits and good acidity. Called after the original name for the Sauvignon Blanc grape, it has great fruitiness, a taut texture and is ready to drink.                      ",Génétin,90,28.0,Loire Valley,Pouilly-Fumé,,Sauvignon Blanc,Domaine Tinel-Blondelet
France,"
                      This full, dry Chenin conveys notes of flowers, zesty citrus and crunchy ripe apple. Its acidity is bright and crisp while keeping richness and an open texture up front. Drink this wine now, or wait until 2020 for a more mature character.                      ",,90,20.0,Loire Valley,Saumur,,Chenin Blanc,Famille Duveau
Italy,"
                      Juicy and polished, this offers aromas of sunbaked earth, mature plum, leather and a whiff of Mediterranean scrub. On the dense, full-bodied palate, close-grained tannins give structure to dried cherry, raspberry jam, star anise and a dusting of bitter cocoa before a rather drying finish. Drink 2020–2027.                      ",Terra di Rivolta,90,,Southern Italy,Aglianico del Taburno,,Aglianico,Fattoria La Rivolta
France,"
                      This is an extra-rich wine, concentrated with ripe fruits. It is still young with no holds barred in its power and intensity. With its dense texture and upfront fruit, it needs to age. Drink from 2020.                      ",Grande Cuvée,90,35.0,Loire Valley,Sancerre,,Sauvignon Blanc,Fournier Père et Fils
US,"
                      Thick, woody and flavored in anise, mango and pear, this is an approachable, attractively priced and well-made wine that will work well with food or on its own.                      ",,87,18.0,California,Russian River Valley,Sonoma,Chardonnay,Folie à Deux
US,"
                      Aromas of barrel spice, creamsicle and flower lead to medium-bodied fruit flavors and a warm finish. The oak influence seems a bit overweighted for the fruit in the bottle.                      ",Grand Klasse Reserve Lawrence Vineyards,87,26.0,Washington,Columbia Valley (WA),Columbia Valley,Viognier,Gård
US,"
                      This medium-bodied wine has plenty of plummy flavors and a spicy streak of black pepper and smoke running through it from the aroma to the finish. It's smooth in texture, moderately concentrated and is 100% estate grown, very rare for a wine this inexpensive.                      ",Old Vine,87,10.0,California,Lodi,Central Valley,Zinfandel,Gen5
France,"
                      A fruity wine with youthful acidity and bright-cherry flavors, this is simply structured, with just a touch of dry tannin. Drink now.                      ",Laurent Dufouleur Cuvée Grégoire,87,30.0,Burgundy,Bourgogne,,Pinot Noir,L. Tramier & Fils
US,"
                      Tart blackberry and fresh-picked raspberry mix with an undertow of tanned leather and cedar on the nose. Juicy acidity balances the crushed velvet tannins, housing flavors of ripe blueberry, blackberry and plum that are accented by vanilla, baking spice and balsam. The vanilla and blackberry finish is luscious and plummy.                      ",TX6,87,25.0,Texas,Texas,,Red Blends,Locations
France,"
                      Bright, fresh and crisp, this wine is textured and fruity. It has a strong mineral edge as well as good acidity. Drink this wine now.                      ",Le Clos Reyssié,87,90.0,Burgundy,Pouilly-Fuissé,,Chardonnay,Marcel Couturier
US,"
                      This single-vineyard bottling is very full on the nose with tangy red-cherry, fruit-punch, marjoram and sumac aromas. Lively and tart red fruits show on the sip, which also offers carnation and rosewater flavors that lead into a squeaky finish.                      ",Saveria Vineyard,91,45.0,California,Santa Cruz Mountains,Central Coast,Pinot Noir,Sante Arcangeli
US,"
                      Spicy and herbal, this is a full-bodied, lushly plush wine that holds its power and concentration well in firm polished tannin. Sage, peppercorn and leather ride a lengthy midpalate complementing the bolder aspects of dark chocolate and coffee.                      ",Reserve,91,100.0,California,Coombsville,Napa,Cabernet Sauvignon,Silver Stag
US,"
                      Salted apple and white peach aromas meet with a lemony edge, hint of toast and flash of sandalwood on the nose of this bottling. There is strong energy to the sip, where tangy waves of lemon candy meet with warmer flavors of pan-seared apple.                      ",,91,25.0,California,Edna Valley,Central Coast,Chardonnay,Stephen Ross
US,"
                      Released after the 2014, this wine is herbal, with polished tannins that give it a softness around the edges. Tart cranberry and currant flavors accentuate its heightened acidity and underlying elegance. Still, time in the cellar could do interesting things. Enjoy 2023–2030.                      ",,91,75.0,California,Spring Mountain District,Napa,Cabernet Sauvignon,Stony Hill
Austria,"
                      The nose of this wine hints at black tulip, black cherry and dusky rose petal. The palate presents a smooth, beautifully fine-grained tannic structure that frames fresh, lovely, tart but ripe cherry notes. A light red with lovely depth of fruit and elegance.                      ",,91,16.0,Burgenland,,,St. Laurent,Strehn
Argentina,"
                      Dark, inky aromas of blackberry, graphite and mocha get things going. This Malbec is full, thick and resiny in feel, with overt oak. Flavors of chocolaty oak, mocha and berry fruits finish round and beefy.                      ",Reserva,91,27.0,Mendoza Province,Mendoza,,Malbec,Sur de los Andes
Italy,"
                      Made from 85% Sangiovese and 15% Cabernet Sauvignon, this opens with toasted oak, mocha and dark-skinned berry aromas. The dense palate offers clove, blackberry jam and roasted coffee notes alongside close-grained tannins. Drink through 2021.                      ",Ser Mariotto,88,20.0,Tuscany,Chianti,,Red Blends,Tenute di Fraternita
US,"
                      Intensely floral aromas of summer rose gardens and lavender fields leap from the glass, with hints of freshly peeled orange peeking through. The palate is equally playful in flavors of lemon juice and orange-blossom honey, kept light by tangy acidity and jubilant bubbles. White peach joins lemon juice on the finish, with just a touch of nuttiness bringing it to a close.                      ",Bubble Universe,88,50.0,Colorado,Colorado,,Sparkling Blend,The Infinite Monkey Theorem
New Zealand,"
                      This is a pretty, delicate wine with notes of honey, blossoms, peaches and lychees and tomato leaf. There's a lovely chalky texture, with mouthwatering acidity and a ripe fruit character adding to the wine's charm.                      ",,88,16.0,Marlborough,,,Sauvignon Blanc,Tiki Sound
Austria,"
                      Aromatic green and fresh yellow pear combine to very appetizing effect on the nose. The palate is less overt in fruit but brings bright zesty citrus to the fore. This is refreshing, light, slender and dry.                      ",Stephanus,88,13.0,Niederösterreich,,,Grüner Veltliner,Weixelbaum
US,"
                      This blend of 75% Primitivo, 13% Syrah and 12% Cabernet Franc is starting to show its age, offering rustic dried red-cherry, dust and leather flavors. There are hints of clove and cinnamon decorating the candied red fruit of the palate, but it's time to drink up on this bottling.                      ",Moongate,88,38.0,California,Paso Robles,Central Coast,Red Blends,Wild Hogge
South Africa,"
                      Sweet grass, peony, sweet pea and fynbos aromas lead the nose of this floral white. They're grounded by tones of white peach, Meyer lemon and white melon rind, though the fruity core seems secondary to the abundant herbal tones. Medium acidity lends enough cut to keep the mouthfeel vibrant and the finish fresh. Drink now.                      ",,88,20.0,Stellenbosch,,,Sauvignon Blanc,Le Bonheur
Italy,"
                      This opens with earthy aromas of leather, charred underbrush and dark berry. The ripe, chewy palate delivers black currant jam, vanilla and star anise alongside rounded tannins.                      ",Cala delle Mandrie,88,30.0,Piedmont,Nizza,,Barbera,Giribaldina
US,"
                      Strong flavors of crunchy apple with hints of cured meat ride along an unctuous texture in this estate-grown wine that holds its acidity well.                      ",Hawley Vineyard,88,34.0,California,Dry Creek Valley,Sonoma,Viognier,Hawley
Portugal,"
                      This is pure Arinto whose freshness has been softened and given an extra dimension by the wood aging. It is still a fruity wine with plenty of apple flavors. But the toast and peppery edge give the wine richness and a full texture. Drink the wine now.                      ",Coelheiros,88,20.0,Alentejano,,,Arinto,Herdade dos Coelheiros
Portugal,"
                      Also known as Fernão Pires, the Maria Gomes grape is widely planted in the center and south of Portugal. This interpretation comes from a single vineyard in hills close to the Tagus river valley. It is a delicious soft easy wine with lively apple and ripe green-plum flavors that have an edge of minerality. Drink the wine now.                      ",Ninfa Colheita,88,20.0,Tejo,,,Maria Gomes,João Teodosio Matos Barbosa
Portugal,"
                      Part of a limited production range from consultant Luis Duarte, this wine is ripe, gently structured and made to be drunk young. With red fruits, layers of acidity and with delicious juiciness, the wine is ready now.                      ",Maravista Tinto,88,17.0,Alentejano,,,Portuguese Red,Luis Duarte
France,"
                      Something honeyed, something mellow plays on the nose of this lemony Riesling. The palate is bone dry and concentrated, yet there is a creamy richness which lends a sonorous aura to the lemony core. All this stems from fermentation in new wood. The dry finish has a touch of maple syrup and resin. Wonderful and unusual. Drink now through 2035.                      ",Altenberg de Bergheim Addict 1.23 Grand Cru,94,150.0,Alsace,Alsace,,Riesling,Gustave Lorentz
US,"
                      Edgar Torres tapped Zotovich Vineyard for a stunning cool-climate Syrah in this bottling, which starts with aromas of elderberry, tar, charred beef, pepper dust and dark violet. The palate is firmly structured, showing white pepper, black currant and more beef and purple flowers. Drink 2020–2035.                      ",,94,,California,Sta. Rita Hills,Central Coast,Syrah,Hug
France,"
                      Ripe red-cheeked Mirabelle plums and peach fringed with rose petals on the nose promise juicy full-fruited expression. The palate keeps that promise with a flowing, almost creamy and evolving picture of peach, peach skin and wonderful lemon freshness. At six years of age, this wine has only just began its trajectory of development and, while lovely now, will continue maturing. The off-dry finish is long, balanced and zesty.                      ",Grossi Laüe,94,75.0,Alsace,Alsace,,Gewürztraminer,Hugel
France,"
                      Ripe red and yellow apples, juicy apricot and sunny Mirabelles on the nose are all framed by lemon freshness while something floral, almost like jasmine hovers. This same fruit-driven concentration appears on the dry but very textured palate. There almost is something like apple crispness that is mellow at the same time. The lemony brightness keeps everything precise. The finish is dry and lasting and packs a wonderful, almost salty punch. Drink now–2030.                      ",Kaefferkopf Vieilles Vignes Grand Cru,94,53.0,Alsace,Alsace,,Riesling,Jean-Baptiste Adam
France,"
                      The ethereal lift of dried lemon peel on the nose is followed by lemon-tempered mellowness of ripe pear, ripe peach and golden Mirabelles on the palate. This is honed and lifted, slightly sweet but balanced by the glistening freshness of that pervasive lemon. A field blend of Riesling and Gewurztraminer, this is a wonderful synthesis of sunshine, soil and grape. The finish is off dry and subtle. It is lovely now but sure to evolve.                      ",Altenberg de Bergheim Grand Cru,94,45.0,Alsace,Alsace,,White Blend,Julien Schaal
France,"
                      Ripe but wonderfully tangy notes of orange zest on the nose transmute into a wonderfully high-toned palate of citrus depth. Mandarins and tart oranges create a vision of utterly juicy but always tangy fruit. The palate is dry but it is the tingling freshness, countered by ample fruit, that sets the exciting moreish tone. Drink through 2030.                      ",Pfersichberg Trois Châteaux Grand Cru,94,39.0,Alsace,Alsace,,Riesling,Kuentz-Bas
US,"
                      High-toned acidity and spice combine with great intrigue in this beautifully quaffable wine, marked by complex texture and bright layers of orange and grapefruit.                      ",Rosé of,93,25.0,California,Russian River Valley,Sonoma,Pinot Noir,MacRostie
France,"
                      Smoky, flinty reduction still envelopes the nose. Underneath, however, a wine of great purity and freshness stretches its fruity-fresh balance from ripe pear to vivid lemon. The palate is rich but taut, attaining honeyed overtones but remaining chiseled and bone dry. Intriguing now, it's full of promise. Drink now–2028.                      ",Roche Granitique,93,26.0,Alsace,Alsace,,Pinot Gris,Martin Schaetzel
Italy,"
                      Aromas of Mediterranean scrub, wild berry, blue flower and crushed herb aromas take shape in the glass. Elegant and delicious, the polished palate delivers ripe morello cherry, raspberry compote, licorice and tobacco alongside taut fine-grained tannins. A salty mineral note lingers on the close while bright acidity provides lovely balance. Drink through 2029.                      ",Rosso del Soprano,93,40.0,Sicily & Sardinia,Sicilia,,Red Blends,Palari
Germany,"
                      While subdued on the nose, ripe rich yellow-peach and nectarine flavors burst from the palate of this sun-kissed spätlese. It's a juicy, almost tropical sip, but maintains a racy acidic edge and lingering phenolic finish. Delightful now but likely to improve further well through 2030.                      ",Piesporter Goldtröpfchen Kabinett Spätlese,93,45.0,Mosel,,,Riesling,Reinhold Haart
Germany,"
                      Bracing lime acidity and earthen notes of crushed stone and salt mark this complex spätlese. Bracing white grapefruit and lemon flavors abound on the palate, softened by a honeyed sweetness and hint of caramelized sugar on the finish. This taut racy wine that should improve through 2030, hold further.                      ",Wintricher Ohligsberg Spätlese,93,45.0,Mosel,,,Riesling,Reinhold Haart
Germany,"
                      While dry in style, this intensely ripe Riesling offers a deeper concentration of white grapefruit and yellow-plum flavors than the producer's kabinett trocken. It's richer and fuller on the palate while maintaining its zesty lime-tinged acidity and crisp mineral backbone. This lavish but elegant wine finishes on a hint of orange blossom.                      ",Thomas Haag Helden Spätlese Trocken,93,35.0,Mosel,,,Riesling,Schloss Lieser
US,"
                      Powerfully structured and brooding in dark fruit, this velvety red (named for the winery's founder) is exotic and savory in nature. A succulent midpalate gives way to highlights of white pepper, cardamom and black tea as the ripeness grips the tongue.                      ",Lynn's Blend,95,85.0,California,Russian River Valley,Sonoma,Pinot Noir,Lynmar
US,"
                      Hugely concentrated and a touch reduced, this is a lovely, generously full-bodied wine, rich as a dark-cherry cobbler in flavor. The barrel oak is pronounced and supportive of the wine's seasonings of black pepper, violet and plum. The ripeness and richness are profound, met by a structure that suggest further cellaring; enjoy best 2025–2030.                      ",,95,90.0,California,Napa Valley,Napa,Merlot,Pahlmeyer
US,"
                      The winery has been working with this same block since 2005, and its experience shows, starting with aromas of rugged thyme, bay leaf, peppercorn and wild cherry. There's an earthy core to the palate, with forest floor, moss, wild mint and thyme flavors, but quite a lot of raspberry fruit as well. Extremely energetic throughout.                      ",Lindsay's,95,65.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Tantara
Italy,"
                      Smoke, crushed stone, underbrush, aromatic herb and wild berry aromas lift out of the glass. Structured, focused and loaded with finesse, the savory palate delivers juicy Marasca cherry, crushed raspberry, licorice, ground pepper and a flinty mineral note alongside taut, refined tannins. It's balanced, with bright acidity. It already has a great depth of flavors but will develop even more complexity over the next several years. Drink through 2026.                      ",Contrada Marchesa,95,35.0,Sicily & Sardinia,Etna,,Nerello Mascalese,Wiegner
France,"
                      Always impressive and powerful in its richness, this Grand Cru has produced a full-bodied, rich and generously fruity wine. Wood aging has added some spice as well, giving a fuller, richer character. The wine needs to age and should not be drunk before 2022                      ",Domaine du Pavillon,94,238.0,Burgundy,Corton-Charlemagne,,Chardonnay,Albert Bichot
France,"
                      Rich and juicy, this youthful, structured wine is from one of Volnay's top vineyards. It is heading towards ripe opulence and dense black-cherry flavors as it matures. Concentration and fruit characterize this impressive wine. Drink from 2023.                      ",Domaine du Pavillon Les Santenots Premier Cru,94,100.0,Burgundy,Volnay,,Pinot Noir,Albert Bichot
US,"
                      This rosé, which is from Tempranillo, shows strawberry and red-plum skins on the nose as well as some sharper rose-petal scents. The texture is tightly wound, offering raspberry and wet stone flavors.                      ",,87,26.0,California,San Diego County,South Coast,Rosé,Hungry Hawk
US,"
                      Leather and pine needle scents compete with blackberry fruit in this wine. The mouthfeel is soft and rounded, and the fruit is annotated with dried rosemary highlights. That leathery note continues through the finish.                      ",Old Vine Reserve,87,30.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Kason
US,"
                      This opens with strawberry and cherry candy scents and flavors. It's front-loaded and fruity, the flavors fresh but fading quickly. Though it spent 14 months in 40% new French oak, the barrel influence is muted.                      ",,87,38.0,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Keeler
